ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
14,"$130-140k",2014,"2014","true","true",80942,6960.802028642105,827,"Texas","04000US48",,0.006895120012927818
9,"$80-90k",2014,"2014","true","true",4560929,51576.56571786216,45526,"United States","01000US","united-states",0.03238629117582316
6,"$50-60k",2014,"2014","true","true",939065,22820.105542874866,8931,"Texas","04000US48",,0.0799951307719115
12,"$110-120k",2014,"2014","true","true",1460431,29515.602496674273,14771,"United States","01000US","united-states",0.010370243344765637
15,"$140-150k",2014,"2014","true","true",61282,6061.842760671624,627,"Texas","04000US48",,0.005220364515730307
21,"$200k+",2014,"2014","true","true",2762472,40403.7667366599,29211,"United States","01000US","united-states",0.019615789361566154
16,"$150-160k",2014,"2014","true","true",997029,24427.883821909425,10147,"United States","01000US","united-states",0.0070797136953326375
7,"$60-70k",2014,"2014","true","true",655556,19315.30191107202,6356,"Texas","04000US48",,0.05584415130828134
16,"$150-160k",2014,"2014","true","true",85530,7153.952928430992,842,"Texas","04000US48",,0.007285953086231082
7,"$60-70k",2014,"2014","true","true",8509041,69419.53461672257,83840,"United States","01000US","united-states",0.06042108514581514
2,"$10-20k",2014,"2014","true","true",21216573,104220.81863864564,188960,"United States","01000US","united-states",0.1506548580193
1,"< $10K",2014,"2014","true","true",19175353,99922.42405994964,183307,"United States","01000US","united-states",0.13616054221786705
17,"$160-170k",2014,"2014","true","true",37353,4737.458834140935,390,"Texas","04000US48",,0.003181950258739502
8,"$70-80k",2014,"2014","true","true",473147,16543.953995999564,4613,"Texas","04000US48",,0.04030546995078894
17,"$160-170k",2014,"2014","true","true",458890,16604.290689681544,4732,"United States","01000US","united-states",0.0032584907937995727
13,"$120-130k",2014,"2014","true","true",1775893,32510.7850877314,17990,"United States","01000US","united-states",0.012610279132849058
18,"$170-180k",2014,"2014","true","true",32944,4449.924802395329,322,"Texas","04000US48",,0.0028063654679386972
10,"$90-100k",2014,"2014","true","true",3142806,43036.07891972179,31683,"United States","01000US","united-states",0.02231646890910253
9,"$80-90k",2014,"2014","true","true",347786,14262.65167070301,3447,"Texas","04000US48",,0.029626475856985423
2,"$10-20k",2014,"2014","true","true",1936335,31219.190251111166,16170,"Texas","04000US48",,0.1649485089351954
19,"$180-190k",2014,"2014","true","true",34318,4541.507160340532,352,"Texas","04000US48",,0.0029234109436838333
6,"$50-60k",2014,"2014","true","true",11150671,78670.68195093497,109822,"United States","01000US","united-states",0.07917879840089755
18,"$170-180k",2014,"2014","true","true",374783,15010.184968759739,3909,"United States","01000US","united-states",0.0026612629501026066
10,"$90-100k",2014,"2014","true","true",247433,12083.080120539644,2481,"Texas","04000US48",,0.021077811644866308
20,"$190-200k",2014,"2014","true","true",17980,3289.551995020246,192,"Texas","04000US48",,0.0015316431251073876
8,"$70-80k",2014,"2014","true","true",6082701,59229.13199870175,60286,"United States","01000US","united-states",0.043192105319216925
3,"$20-30k",2014,"2014","true","true",1797656,30292.501838659067,15552,"Texas","04000US48",,0.15313500854883458
14,"$130-140k",2014,"2014","true","true",956819,23933.668955038676,9807,"United States","01000US","united-states",0.00679419011709236
21,"$200k+",2014,"2014","true","true",234093,11759.666009431108,2638,"Texas","04000US48",,0.01994143126172212
11,"$100-110k",2014,"2014","true","true",256178,12290.072652082441,2623,"Texas","04000US48",,0.021822762653156857
3,"$20-30k",2014,"2014","true","true",20932980,103644.58657617042,189492,"United States","01000US","united-states",0.14864111795155827
1,"< $10K",2014,"2014","true","true",1536930,28374.64756924623,13885,"Texas","04000US48",,0.13092482025980517
