ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
2,"$15,000 to $19,999",2015,"2015",690,768,"Austin, TX","16000US4805000","austin-tx",0.004263549126590335
16,"$175,000 to $199,999",2015,"2015",10798,1708,"Austin, TX","16000US4805000","austin-tx",0.06672145430278614
19,"$300,000 to $399,999",2015,"2015",8274205,47076,"United States","01000US","united-states",0.11105344724767145
2,"$15,000 to $19,999",2015,"2015",500762,10364,"United States","01000US","united-states",0.006721050100962987
17,"$200,000 to $249,999",2015,"2015",24947,2266,"Austin, TX","16000US4805000","austin-tx",0.1541489276247088
3,"$20,000 to $24,999",2015,"2015",535,326,"Austin, TX","16000US4805000","austin-tx",0.00330579533728381
13,"$100,000 to $124,999",2015,"2015",5842517,39281,"United States","01000US","united-states",0.07841619266783016
18,"$250,000 to $299,999",2015,"2015",19273,2236,"Austin, TX","16000US4805000","austin-tx",0.11908895987938481
20,"$400,000 to $499,999",2015,"2015",4649695,31096,"United States","01000US","united-states",0.06240655850323526
4,"$25,000 to $29,999",2015,"2015",219,142,"Austin, TX","16000US4805000","austin-tx",0.001353213418439541
19,"$300,000 to $399,999",2015,"2015",25327,2366,"Austin, TX","16000US4805000","austin-tx",0.1564969691726861
0,"Less Than $10,000",2015,"2015",1045716,13633,"United States","01000US","united-states",0.014035229564900314
9,"$60,000 to $69,999",2015,"2015",1874444,20511,"United States","01000US","united-states",0.02515812309130778
20,"$400,000 to $499,999",2015,"2015",17524,1871,"Austin, TX","16000US4805000","austin-tx",0.1082817897019841
5,"$30,000 to $34,999",2015,"2015",364,291,"Austin, TX","16000US4805000","austin-tx",0.0022491766406940315
21,"$500,000 to $749,999",2015,"2015",5243219,33833,"United States","01000US","united-states",0.07037262729464507
21,"$500,000 to $749,999",2015,"2015",20912,2042,"Austin, TX","16000US4805000","austin-tx",0.12921643381921316
14,"$125,000 to $149,999",2015,"2015",5344324,37990,"United States","01000US","united-states",0.07172962277444957
6,"$35,000 to $39,999",2015,"2015",192,186,"Austin, TX","16000US4805000","austin-tx",0.0011863788873990497
22,"$750,000 to $999,999",2015,"2015",5673,1267,"Austin, TX","16000US4805000","austin-tx",0.035053788688618796
6,"$35,000 to $39,999",2015,"2015",485347,9623,"United States","01000US","united-states",0.00651415543382302
22,"$750,000 to $999,999",2015,"2015",2012603,17766,"United States","01000US","united-states",0.027012444227693815
23,"$1,000,000 to $1,499,999",2015,"2015",2496,668,"Austin, TX","16000US4805000","austin-tx",0.015422925536187645
7,"$40,000 to $49,999",2015,"2015",436,318,"Austin, TX","16000US4805000","austin-tx",0.002694068723468675
4,"$25,000 to $29,999",2015,"2015",523598,11473,"United States","01000US","united-states",0.007027546800204524
24,"$1,500,000 to $1,999,999",2015,"2015",819,353,"Austin, TX","16000US4805000","austin-tx",0.005060647441561571
15,"$150,000 to $174,999",2015,"2015",6487224,41429,"United States","01000US","united-states",0.08706922154670185
8,"$50,000 to $59,999",2015,"2015",716,393,"Austin, TX","16000US4805000","austin-tx",0.004424204600925623
25,"$2,000,000 or More",2015,"2015",1514,540,"Austin, TX","16000US4805000","austin-tx",0.009355091851677922
23,"$1,000,000 to $1,499,999",2015,"2015",1102169,12720,"United States","01000US","united-states",0.014792921724748033
0,"Less Than $10,000",2015,"2015",1377,550,"Austin, TX","16000US4805000","austin-tx",0.00850856108306506
